大华锦绣华城第12街区,住宅,北蔡,锦绣路3088弄
地杰国际城,住宅,北蔡,御桥路1978弄、御桥路2066弄 
万科金色城市,住宅,北蔡,御水路150弄 
大华锦绣华城第16街区,住宅,北蔡,成山路1728弄
大华锦绣华城第18街区,住宅,北蔡,成山路2008弄
民乐苑,住宅,北蔡,御青路288弄、御青路328弄、御桥路3..
地杰国际城二期,住宅,北蔡,御桥路2066弄
锦博苑,住宅,北蔡,高科西路2111弄
海上国际花园,住宅,北蔡,成山路2399弄,博华路380弄
大华锦绣华城第19街区,住宅,北蔡,锦绣路3336弄
绿川新苑,住宅,北蔡,绿林路50-52弄、绿林路320弄
地杰国际城三期,住宅,北蔡,御水路199弄
大华锦绣华城别墅,别墅,北蔡,成山路2008弄、锦绣路3338弄、成山路..
大华锦绣华城,住宅,北蔡,成山路2008弄、锦绣路3338弄 
文化馨苑,住宅,北蔡,博华路237弄
大华锦绣华城第11街区,住宅,北蔡,北艾路1077弄
大华锦绣华城第1街区,住宅,北蔡,华绣路179弄、华绣路255弄
锦华花园,住宅,北蔡,锦绣路2866弄、锦绣路2868弄、北艾路..
文汇小区,住宅,北蔡,下南路276弄 320弄 370弄
紫叶花园,住宅,北蔡,莲安西路108弄、10弄、191弄、251弄..
莲怡苑,住宅,北蔡,莲溪路367弄、莲溪路477弄
大华锦绣华城锦绣路3338弄小区,住宅,北蔡,锦绣路3338弄
绿川馨康苑,住宅,北蔡,博华路930弄
绿川小区,住宅,北蔡,博华路999弄、博华路1018弄
大华锦绣华城第4街区,住宅,北蔡,北艾路1765弄
大华锦绣华城第14街区,住宅,北蔡,成山路1236弄,华鹏路300弄
鹏海西区,住宅,北蔡,五星路231弄、五星路151弄
大华锦绣华城第9街区,住宅,北蔡,北艾路1200弄
华佳花园,住宅,北蔡,高科西路3000弄
京浦小区,住宅,北蔡,京浦路82弄、京浦路160弄、沪南公路..
大华锦绣华城第15街区,住宅,北蔡,成山路1488弄
通宇加东公寓,住宅,北蔡,莲安西路145弄
御桥馨华苑,住宅,北蔡,御山路455弄
金恒小区,住宅,北蔡,北艾路862弄1-54号
天池一村,住宅,北蔡,北艾路73弄、155弄、227弄
海东公寓,住宅,北蔡,莲园路100弄
民康苑,住宅,北蔡,御山路360弄
莲泰苑,住宅,北蔡,新陈路303弄
锦华东南苑,住宅,北蔡,成山路2222弄
莲溪六村,住宅,北蔡,莲溪路126弄、莲园路555弄
绿星小区,住宅,北蔡,下南路225弄1-61号
莲园路8弄小区,住宅,北蔡,莲园路8弄、莲园路18弄
南新四村,住宅,北蔡,下南路501弄、下南路551弄
莲溪三村,住宅,北蔡,莲溪路399弄、北中路480弄
鹏海小区,住宅,北蔡,五星路151、239弄
绿地御桥苑,住宅,北蔡,御山路390弄
玉兰小区,住宅,北蔡,莲中路337弄
金顺小区,住宅,北蔡,下南路971弄、北艾路901弄
紫叶小区,住宅,北蔡,紫叶路192弄,紫叶路50弄
绿川家园,住宅,北蔡,陈春路221弄
南新六村,住宅,北蔡,下南路500弄
御青路56弄小区,住宅,北蔡,御青路56弄
大华锦绣华城第10街区,住宅,北蔡,下南路1071弄
莲杨苑,住宅,北蔡,莲溪路780弄
海上国际花园别墅,别墅,北蔡,成山路2399弄
宏莲馨苑,住宅,北蔡,莲园路151号
南新小区,住宅,北蔡,下南路225弄、下南路339弄、下南路5..
金旋小区,住宅,北蔡,北艾路1128弄1-28号;北艾路1130弄1-..
锦三角花园,住宅,北蔡,锦绣路2885弄
莲溪一村,住宅,北蔡,北中路354弄
鹏海东苑,住宅,北蔡,五星路239弄
鹏宏苑,住宅,北蔡,鹏飞路333弄
莲业新村,住宅,北蔡,莲安西路125弄
博安苑,住宅,北蔡,博华路300弄
高科西路3030弄小区,住宅,北蔡,高科西路3030弄
龙港小区,住宅,北蔡,高科西路3050弄
南新三村,住宅,北蔡,下南路339弄
海上国际公寓,住宅,北蔡,博华路380弄
莲鼎苑,住宅,北蔡,新陈路280弄
世外桃源花园,别墅,北蔡,莲溪路99弄、莲溪路1-189号
莲中路255弄小区,住宅,北蔡,莲中路255弄
经典花园别墅,别墅,北蔡,御青路999号
锦绣年华,住宅,北蔡,成山路2222弄、锦绣路3250号(成山路..
紫叶东园,住宅,北蔡,莲安西路108弄、北中路10弄、北中路..
莲安东路79弄小区,住宅,北蔡,莲安东路79弄
大华锦绣华城第2街区,住宅,北蔡,北艾路1500弄
绿川公寓,住宅,北蔡,博华路980弄
北中路280弄小区,住宅,北蔡,北中路280弄
东莲大厦,住宅,北蔡,沪南路1101号
龙博公寓,住宅,北蔡,沪南路1168弄
紫竹轩,住宅,北蔡,莲园路180弄、莲园路150弄
莲中路250弄小区,住宅,北蔡,莲中路250弄
高科西路2763弄小区,住宅,北蔡,高科西路2763弄
景泰嘉苑,住宅,北蔡,莲安西路123弄
莲文苑,住宅,北蔡,莲园路77弄
莲宏苑,住宅,北蔡,莲园路468,北中路247弄
环龙公寓,住宅,北蔡,高科西路2907弄
加东花园,住宅,北蔡,莲安西路125弄
莲溪八村,住宅,北蔡,莲园路505弄
绿苑别墅,别墅,北蔡,博华路971弄
虹南小区(浦东),住宅,北蔡,沪南公路1351弄、沪南路1361弄、沪南..
经典花园,住宅,北蔡,御青路999号
联勤小区,住宅,北蔡,锦绣路3841弄
北中路328弄小区,住宅,北蔡,北中路328弄
北蔡苑,住宅,北蔡,莲安西路185弄
莲溪路550弄小区,住宅,北蔡,莲溪路550弄
莲溪二村,住宅,北蔡,北中路383弄、莲园路560弄、莲园路5..
莲琼苑,住宅,北蔡,新陈路150弄
北中路278弄小区,住宅,北蔡,北中路278弄
鹏丰苑,住宅,北蔡,鹏飞路411弄、鹏飞路426弄、鹏岳路1..
南新公寓,住宅,北蔡,下南路526弄
欣顺小区,住宅,北蔡,下南路309弄
莲园路18弄小区,住宅,北蔡,莲园路18弄
锦三角花园别墅,别墅,北蔡,浦东锦绣路2885弄
南新苑,住宅,北蔡,下南路465弄
鹏健苑,住宅,北蔡,浦东新区鹏岳路70弄
鹏裕苑,住宅,北蔡,莲溪路1099弄
德圣苑,住宅,北蔡,陈春东路88弄
花木公寓,住宅,北蔡,高科西路2970弄
天池新苑,住宅,北蔡,北艾路155弄、莲国路227弄
莲园路560弄小区,住宅,北蔡,莲园路560弄
莲馨苑,住宅,北蔡,莲园路630弄
新陈路428弄小区,住宅,北蔡,新陈路428弄
由由园中苑,住宅,北蔡,严中路140弄
莲中路356弄小区,住宅,北蔡,莲中路356弄
人和新村,住宅,北蔡,御青路901弄
德铭苑,住宅,北蔡,陈春东路99弄
莲中二村,住宅,北蔡,莲中路318弄
龙港新村,住宅,北蔡,高科西路3060弄
莲中路174弄小区,住宅,北蔡,莲中路174弄
北中路383弄小区,住宅,北蔡,北中路383弄
沪南路577弄小区,住宅,北蔡,沪南路577弄
莲安东路80弄小区,住宅,北蔡,莲安东路80弄
天池小区,住宅,北蔡,莲园路8弄、莲园路18弄
沪南路1361弄小区,住宅,北蔡,沪南路1361弄
华安公寓(浦东),住宅,北蔡,高科西路2970弄
华绣路179弄小区,住宅,北蔡,华绣路179弄
莲溪新村,住宅,北蔡,莲中路356弄
莲溪大楼,住宅,北蔡,北中路408弄
莲中路191弄小区,住宅,北蔡,莲中路191弄
莲溪路430弄小区,住宅,北蔡,莲溪路430弄
莲园路488弄小区,住宅,北蔡,莲园路488弄
虞泽苑,住宅,北蔡,鹏飞路51弄,鹏飞路101弄
紫叶路65弄,住宅,北蔡,紫叶路65弄
紫叶路152弄小区,住宅,北蔡,紫叶路152弄
北中路580弄小区,住宅,北蔡,北中路580弄
博华路1018弄小区,住宅,北蔡,博华路1018弄
北蔡大街31弄32弄小区,住宅,北蔡,北蔡大街31弄32弄
北艾路862弄小区,住宅,北蔡,北艾路862弄
北中路230弄小区,住宅,北蔡,北中路230弄
北中路270弄小区,住宅,北蔡,北中路270弄
高科西路2847弄小区,住宅,北蔡,高科西路2847弄
顾源公寓,住宅,北蔡,顾全路139号
宏莲馨苑三期,住宅,北蔡,莲园路150弄西首
沪南路1351弄小区,住宅,北蔡,沪南路1351弄
莲园路580弄小区,住宅,北蔡,莲园路580弄
莲园路555弄小区,住宅,北蔡,莲园路555弄
莲安东路243弄小区,住宅,北蔡,莲安东路243弄
莲安西路125弄小区,住宅,北蔡,莲安西路125弄
绿林路320弄小区,住宅,北蔡,绿林路320弄
莲安西路199弄小区,住宅,北蔡,莲安西路199弄
莲中小区,住宅,北蔡,莲中路169弄
绿林路51弄小区,住宅,北蔡,绿林路51弄
莲园路508弄小区,住宅,北蔡,莲园路508弄
莲园路498弄小区,住宅,北蔡,莲园路498弄
莲安西路35弄小区,住宅,北蔡,莲安西路35弄
莲安西路117号,住宅,北蔡,莲安西路117号
莲园路518弄小区,住宅,北蔡,莲园路518弄
莲安西路225弄小区,住宅,北蔡,莲安西路225弄
莲园路396号,住宅,北蔡,莲园路396号
莲园路310弄小区,住宅,北蔡,莲园路310弄
齐宏苑,住宅,北蔡,齐河路浦三路783弄
新陈路25弄小区,住宅,北蔡,新陈路25弄
紫叶路81弄小区,住宅,北蔡,紫叶路81弄
紫叶路147弄小区,住宅,北蔡,沪南路紫叶路147弄
紫叶路116弄小区,住宅,北蔡,浦东新区北蔡镇紫叶路116弄
世茂湖滨花园,住宅,碧云,明月路188弄
云间绿大地,别墅,碧云,锦绣东路418弄
世茂湖滨花园别墅,别墅,碧云,明月路188弄
维诗凯亚别墅,别墅,碧云,云山路2000弄
金桥爱建园,住宅,碧云,碧云路199号
金桥酒店公寓,住宅,碧云,红枫路108弄
晓园,住宅,碧云,红枫路358弄
碧云东方公寓,住宅,碧云,红枫路300弄
罗山花苑,住宅,碧云,明月路199弄
碧云花园,住宅,碧云,碧云路777号
信和花园,住宅,碧云,黄杨路69弄
中天碧云,住宅,碧云,碧云路333号
罗山花苑二期,住宅,碧云,白桦路266弄
碧云东壹栋公寓,住宅,碧云,金藏路51号
银泰花园,住宅,碧云,蓝天路368弄
罗山花苑三期,住宅,碧云,碧云路86弄
百富丽山庄,别墅,碧云,明月路1118号
凤凰大厦,住宅,碧云,黄杨路18号
银泰花园别墅,别墅,碧云,蓝天路368弄
碧云别墅,别墅,碧云,碧云路700号
碧云公馆,写字楼,碧云,浙桥路289号(临杨高中路)
碧云公馆公寓,住宅,碧云,浙桥路289号(临杨高中路)
星云小区,住宅,碧云,罗山路1507弄
盈标花园,住宅,碧云,红枫路450弄
碧云钻石酒店公寓,住宅,碧云,碧云路1168弄
浦东花园别墅,别墅,碧云,明月路476号
凤凰大厦酒店公寓,写字楼,碧云,黄杨路18号
建银大厦,写字楼,碧云,浦东浙桥路289号
金洋十方庭,住宅,碧云,碧云路86弄1-13号
